id	keep	Description	Homepage	EDAM_operations	EDAM_topics
concoct	False	CONCOCT (Clustering cONtigs with COverage and ComposiTion) does unsupervised binning of metagenomic contigs byusing nucleotide composition - kmer frequencies - and coverage data for multiple samples. CONCOCT can accurately(up to species level) bin metagenomic contigs.	https://github.com/BinPro/CONCOCT	['Sequence clustering', 'Read binning']	['Metagenomics']
contig_annotation_tool	False	Contig Annotation Tool (CAT)	https://github.com/dutilh/CAT	['Taxonomic classification', 'Sequence assembly', 'Coding region prediction']	['Metagenomics', 'Metagenomic sequencing', 'Taxonomy', 'Sequence assembly']
control_freec	False	Control-FREEC is a tool for detection of copy-number changes and allelic imbalances (including LOH) using deep-sequencing data originally developed by the Bioinformatics Laboratory of Institut Curie (Paris). It automatically computes, normalizes, segments copy number and beta allele frequency (BAF) profiles, then calls copy number alterations and LOH.	http://boevalab.inf.ethz.ch/FREEC/	['Copy number estimation', 'Variant calling', 'Genome alignment']	['DNA structural variation', 'Oncology', 'Human genetics', 'Data mining']
coverm	False	CoverM genome and contig wrappers	https://github.com/wwood/CoverM	['Local alignment']	['Metagenomics', 'Sequence analysis']
dada2	False	DADA2 wrappers	https://benjjneb.github.io/dada2/index.html	['Variant calling', 'DNA barcoding']	['Sequencing', 'Genetic variation', 'Microbial ecology', 'Metagenomics']
das_tool	False	DAS Tool for genome resolved metagenomics	https://github.com/cmks/DAS_Tool	['Read binning']	['Metagenomics']
data_manager_pima_pv_downloader	False	Data manager to download the PIMA plasmids_and_vectors.fasta files for use by the PIMA pipeline tools.	https://github.com/appliedbinf/pima_md	[]	[]
decontam	False	Removes decontamination features (ASVs/OTUs) using control samples	https://github.com/benjjneb/decontam	['Classification']	['Metagenomics', 'Microbial ecology', 'Sequencing']
decontaminator	False	Deep Learning method for novel virus detection in sequencing data	https://github.com/cbib/decontaminator	['Filtering']	['Metagenomics']
deeparg	False	A deep learning based approach to predict Antibiotic Resistance Genes (ARGs) from metagenomes	https://github.com/gaarangoa/deeparg	['Antimicrobial resistance prediction', 'Antimicrobial resistance prediction']	['Microbiology']
disco	False	DISCO is a overlap-layout-consensus (OLC) metagenome assembler	http://disco.omicsbio.org/	['Protein sequence analysis']	['Structure determination']
dram	False	DRAM for distilling microbial metabolism to automate the curation of microbiome function	https://github.com/WrightonLabCSU/DRAM	['Gene functional annotation']	['Metagenomics', 'Biological databases', 'Molecular genetics']
draw_amr_matrix	False	Accepts a collection of best AMR feature hits, an optional AMR deletions BED file, an optional AMR mutations TSV file and a AMR gene drug mappings file and draws an AMR matrix.	https://github.com/gregvonkuster/galaxy_tools	[]	[]
drep	False	dRep compares and dereplicates genome sets	https://github.com/MrOlm/drep	['Genome comparison']	['Metagenomics', 'Genomics', 'Sequence analysis']
eggnog_mapper	False	eggnog-mapper fast functional annotation of novel sequences	https://github.com/eggnogdb/eggnog-mapper	['Homology-based gene prediction', 'Genome annotation', 'Fold recognition', 'Information extraction', 'Query and retrieval']	['Metagenomics', 'Phylogeny', 'Transcriptomics', 'Workflows', 'Sequence analysis']
eukcc	False	Galaxy wrapper for EukCC	https://github.com/EBI-Metagenomics/EukCC	['Sequence assembly validation']	['Metagenomics']
eukrep	False	Classification of Eukaryotic and Prokaryotic sequences from metagenomic datasets	https://github.com/patrickwest/EukRep	['Nucleic acid sequence analysis']	['Metagenomics']
fairy	False	Fast approximate contig coverage for metagenomic binning	https://github.com/bluenote-1577/fairy	['Read binning', 'Sequence assembly validation']	['Metagenomics']
fargene	False	fARGene (Fragmented Antibiotic Resistance Gene iENntifiEr )	https://github.com/fannyhb/fargene	['Antimicrobial resistance prediction']	['Metagenomics', 'Microbiology', 'Public health and epidemiology', 'Antimicrobial resistance']
fastspar	False	Tool for rapid and scalable correlation estimation for compositional data.	https://github.com/scwatts/fastspar/	[]	['Metagenomics', 'Microbial ecology']
flye	False	Assembly of long and error-prone reads.	https://github.com/fenderglass/Flye/	['Genome assembly', 'De-novo assembly', 'Mapping assembly', 'Cross-assembly']	['Sequence assembly', 'Metagenomics', 'Whole genome sequencing', 'Genomics']
format_metaphlan2_output	False	Format MetaPhlAn2 output to extract abundance at different taxonomic levels		['Formatting']	['Taxonomy', 'Metagenomics']
freyja	False	lineage abundances estimation	https://github.com/andersen-lab/Freyja	['RNA-Seq quantification']	['Metagenomics']
frogs_core	False	Suite for metabarcoding analysis	http://frogs.inrae.fr/	[]	[]
frogs_func	False	Suite for metabarcoding analysis	http://frogs.inrae.fr/	[]	[]
frogs_stat	False	Suite for metabarcoding analysis	http://frogs.inrae.fr/	[]	[]
genomad	False	Identify virus and plasmid genomes from nucleotide sequences	https://github.com/apcamargo/genomad/	['Sequence annotation', 'Taxonomic classification']	['Sequence analysis']
graphlan	False	GraPhlAn is a software tool for producing high-quality circular representations of taxonomic and phylogenetic trees	https://github.com/biobakery/graphlan	['Phylogenetic inference', 'Phylogenetic tree visualisation', 'Phylogenetic tree editing', 'Taxonomic classification']	['Metagenomics', 'Phylogenetics', 'Phylogenomics', 'Cladistics']
groot	False	GROOT is a tool to type Antibiotic Resistance Genes (ARGs) in metagenomic samples	https://github.com/will-rowe/groot	['Antimicrobial resistance prediction']	['Metagenomics', 'Microbiology', 'Genomics']
gtdbtk	False	GTDB-Tk is a software tool kit for assigning objective taxonomic classifications to bacterial and archaeal genomesbased on the Genome Database Taxonomy GTDB. It is designed to work with recent advances that allow hundreds orthousands of metagenome-assembled genomes (MAGs) to be obtained directly from environmental samples. It can alsobe applied to isolate and single-cell genomes. 	https://github.com/Ecogenomics/GTDBTk	['Genome alignment', 'Taxonomic classification', 'Sequence assembly', 'Query and retrieval']	['Metagenomics', 'Taxonomy', 'Phylogenetics', 'Database management', 'Proteins']
hamronization	False	Convert AMR gene detection tool output to hAMRonization specification format.	https://github.com/pha4ge/hAMRonization	['Data handling', 'Antimicrobial resistance prediction', 'Parsing']	['Public health and epidemiology', 'Microbiology', 'Bioinformatics']
hifiasm_meta	False	A hifiasm fork for metagenome assembly using Hifi reads.	https://github.com/xfengnefx/hifiasm-meta	['Sequence assembly']	['Sequence assembly', 'Metagenomics']
hmmer3	False	HMMER is used for searching sequence databases for homologs of proteinsequences, and for making protein sequence alignments. It implementsmethods using probabilistic models called profile hidden Markov models(profile HMMs).	http://hmmer.org/	['Formatting', 'Multiple sequence alignment', 'Sequence profile generation', 'Format validation', 'Conversion', 'Sequence generation', 'Data retrieval', 'Statistical calculation', 'Database search', 'Formatting', 'Database search', 'Database search', 'Probabilistic sequence generation', 'Statistical calculation', 'Statistical calculation', 'Sequence database search', 'Formatting', 'Sequence database search', 'Database search', 'Sequence database search']	['Sequence analysis', 'Sequence sites, features and motifs', 'Gene and protein families']
humann	False	HUMAnN for functionally profiling metagenomes and metatranscriptomes at species-level resolution	http://huttenhower.sph.harvard.edu/humann	['Species frequency estimation', 'Taxonomic classification', 'Phylogenetic analysis']	['Metagenomics', 'Phylogenomics']
instagraal	False	Large genome reassembly based on Hi-C data	https://github.com/koszullab/instaGRAAL	['Genome assembly', 'Mapping assembly', 'Genetic mapping', 'Scaffolding']	['Sequence assembly', 'Mapping', 'Metagenomics', 'Statistics and probability', 'DNA binding sites']
instrain	False	InStrain is a tool for analysis of co-occurring genome populations from metagenomes	https://instrain.readthedocs.io/	['SNP detection', 'Genome comparison']	['Mapping', 'Metagenomics']
integronfinder	False	"""IntegronFinder identify integrons with high accuracy and sensitivity.It searches for attC sites using covariance models, for integron-integrases using HMM profiles, and for other features (promoters, attI site) using pattern matching"""	https://github.com/gem-pasteur/Integron_Finder	['Nucleic acid feature detection', 'Sequence motif recognition', 'Protein feature detection', 'Genome annotation']	['Functional genomics', 'Mobile genetic elements', 'Molecular biology', 'Sequence analysis']
isescan	False	"""ISEScan is a pipeline to identify IS (Insertion Sequence) elements in genome and metagenomebased on profile hidden Markov models constructed from manually curated IS elements."""	https://github.com/xiezhq/ISEScan	['Structural variation detection']	['Genomics', 'DNA structural variation', 'Sequence analysis', 'Genetic variation']
ivar	False	iVar is a computational package that contains functions broadly useful for viral amplicon-based sequencing	https://github.com/andersen-lab/ivar	['Primer removal']	['Virology']
kaiju	False	taxonomic classification of high-throughput sequencing reads	https://github.com/bioinformatics-centre/kaiju	['Taxonomic classification']	['Metagenomics']
kleborate	False	Screen genome assemblies of Klebsiella pneumoniae and the Klebsiella pneumoniae species complex (KpSC)	https://github.com/katholt/Kleborate	['Multilocus sequence typing', 'Genome assembly', 'Virulence prediction']	['Public health and epidemiology', 'Metagenomics', 'Population genomics', 'Sequence assembly', 'Whole genome sequencing']
kmetashot	False	an alignment-free taxonomic classifier based on k-mer/minimizer counting	https://github.com/gdefazio/kMetaShot	[]	['Metagenomics']
kneaddata	False	Quality control and contaminant removal for metagenomic data	https://github.com/biobakery/kneaddata	[]	[]
kraken	False	Kraken is a system for assigning taxonomic labels to short DNAsequences, usually obtained through metagenomic studies. Previous attempts by otherbioinformatics software to accomplish this task have often used sequence alignmentor machine learning techniques that were quite slow, leading to the developmentof less sensitive but much faster abundance estimation programs. Kraken aims toachieve high sensitivity and high speed by utilizing exact alignments of k-mersand a novel classification algorithm.	http://ccb.jhu.edu/software/kraken/	['Taxonomic classification']	['Taxonomy', 'Metagenomics']
kraken2	False	Kraken2 for taxonomic designation.	http://ccb.jhu.edu/software/kraken/	['Taxonomic classification']	['Taxonomy', 'Metagenomics', 'Microbial ecology', 'Microbiology']
kraken_biom	False	Create BIOM-format tables (http://biom-format.org) from Kraken output (http://ccb.jhu.edu/software/kraken/)	https://github.com/smdabdoub/kraken-biom	['Genome annotation', 'Taxonomic classification']	['Metagenomics', 'Taxonomy']
kraken_taxonomy_report	False	Kraken taxonomy report	https://github.com/blankenberg/Kraken-Taxonomy-Report	['Visualisation', 'Classification']	['Metagenomics', 'Taxonomy']
krakentools	False	KrakenTools is a suite of scripts to be used alongside the Kraken	https://github.com/jenniferlu717/KrakenTools	['Visualisation', 'Aggregation']	['Taxonomy', 'Metagenomics']
lineagespot	False	Identification of SARS-CoV-2 related metagenomic mutations based on a single (or a list of) variant(s) file(s)	https://www.bioconductor.org/packages/release/bioc/html/lineagespot.html	['Variant calling']	['Metagenomics', 'Gene transcripts', 'Evolutionary biology', 'Sequencing', 'Genetic variation']
lotus2	False	LotuS2 OTU processing pipeline	https://lotus2.earlham.ac.uk/	['Sequence feature detection', 'DNA barcoding']	['Metagenomics', 'Taxonomy', 'Microbial ecology']
lrn_risk	False	Produces detected blacklisted genes and distribution of virulence factors and AMR genes for PIMA	https://github.com/lmc297/LRNRisk	[]	[]
maaslin2	False	MaAsLin2 is comprehensive R package for efficiently determining multivariable association between microbial meta'omic features and clinical metadata.	http://huttenhower.sph.harvard.edu/maaslin	['Filtering', 'Statistical calculation', 'Standardisation and normalisation', 'Visualisation']	['Metagenomics', 'Statistics and probability']
marine_omics	False	The Sanntis tool identify biosynthetic gene clusters (BGCs) in genomic & metagenomic data	https://github.com/Finn-Lab/SanntiS	[]	[]
mash	False	Fast genome and metagenome distance estimation using MinHash	https://github.com/marbl/Mash	['Sequence distance matrix generation']	['Genomics', 'Metagenomics', 'Statistics and probability', 'Sequence analysis', 'DNA mutation']
masigpro	False	Identify significantly differential expression profiles in time-course microarray experiments	https://www.bioconductor.org/packages/release/bioc/html/maSigPro.html	['Regression analysis']	['Gene expression', 'Molecular genetics', 'Microarray experiment', 'RNA-Seq']
maxbin2	False	clusters metagenomic contigs into bins	https://downloads.jbei.org/data/microbial_communities/MaxBin/MaxBin.html	['Sequence assembly']	['Metagenomics', 'Sequence assembly', 'Microbiology']
megahit	False	An ultra-fast single-node solution for large and complex metagenomics assembly via succinct de Bruijn graph.	https://github.com/voutcn/megahit	['Genome assembly']	['Metagenomics', 'Sequencing', 'Ecology', 'Sequence assembly']
megahit_contig2fastg	False	A subprogram within the Megahit toolkit for converting contigs to assembly graphs (fastg)	https://github.com/voutcn/megahit/blob/master/tools/toolkit.cpp	['Genome assembly']	['Metagenomics', 'Sequencing', 'Ecology', 'Sequence assembly']
megan	False	MEGAN Community Edition - Interactive exploration and analysis of large-scale microbiome sequencing data.  MEGAN is a tool for studying the taxonomic content of a set of DNA reads, typically collected in a metagenomics project.In a preprocessing step, a sequence alignment of all reads against a suitable database of reference DNA or proteinsequences must be performed to produce an input file for the program. MEGAN is suitable for DNA reads (metagenomedata), RNA reads (metatranscriptome data), peptide sequences (metaproteomics data) and, using a suitable synonymsfile that maps SILVA ids to taxon ids, for 16S rRNA data (amplicon sequencing).	https://github.com/husonlab/megan-ce	['Sequence analysis', 'Taxonomic classification']	['Sequence analysis']
meta_proteome_analyzer	False	MetaProteomeAnalyzer	https://github.com/compomics/meta-proteome-analyzer/	[]	[]
metabat2	False	MetaBAT2 (Metagenome Binning based on Abundance and Tetranucleotide frequency) is an automated metagenome binningsoftware that integrates empirical probabilistic distances of genome abundance and tetranucleotide frequency.	https://bitbucket.org/berkeleylab/metabat/src/master/	['Read binning', 'Sequence assembly', 'Genome annotation']	['Metagenomics', 'Sequence assembly', 'Metagenomic sequencing']
metabuli	False	Classifying metagenomes by jointly analysing both DNA and amino acid (AA) sequences	https://github.com/steineggerlab/Metabuli	['Taxonomic classification']	['Taxonomy']
metaeuk	False	MetaEuk is a modular toolkit designed for large-scale gene discovery andannotation in eukaryotic metagenomic contigs. Metaeuk combines the fast andsensitive homology search capabilities of MMseqs2 with a dynamic programmingprocedure to recover optimal exons sets. It reduces redundancies in multiplediscoveries of the same gene and resolves conflicting gene predictions onthe same strand. 	https://github.com/soedinglab/metaeuk	['Homology-based gene prediction']	['Metagenomics', 'Gene and protein families']
metagene_annotator	False	MetaGeneAnnotator gene-finding program for prokaryote and phage	http://metagene.nig.ac.jp/	['Sequence annotation']	['Genomics', 'Model organisms', 'Data submission, annotation and curation']
metagenomeseq_normalization	False	metagenomeSeq Normalization	https://bioconductor.org/packages/3.18/bioc/html/metagenomeSeq.html	['Sequence visualisation', 'Statistical calculation']	['Metagenomics', 'Sequencing']
metamdbg	False	MetaMDBG is a fast and low-memory assembler for long and accurate metagenomics reads.	https://github.com/GaetanBenoitDev/metaMDBG	['Genome assembly']	['Metagenomics']
metanovo	False	Produce targeted databases for mass spectrometry analysis.	https://github.com/uct-cbio/proteomics-pipelines	['Target-Decoy', 'de Novo sequencing', 'Tag-based peptide identification', 'Protein identification', 'Expression analysis']	['Proteomics', 'Microbial ecology', 'Metagenomics', 'Proteomics experiment', 'Small molecules']
metaphlan	False	MetaPhlAn for Metagenomic Phylogenetic Analysis	https://github.com/biobakery/MetaPhlAn	['Taxonomic classification', 'Taxonomic classification']	['Metagenomics', 'Phylogenomics']
metaquantome	False	quantitative analysis of microbiome taxonomy and function	https://github.com/galaxyproteomics/metaquantome/	['Principal component visualisation', 'Visualisation', 'Functional clustering', 'Query and retrieval', 'Differential protein expression analysis', 'Heat map generation', 'Quantification', 'Indexing', 'Filtering', 'Statistical inference']	['Proteomics', 'Metatranscriptomics', 'Microbial ecology', 'Proteomics experiment', 'Metagenomics']
metawrapmg_binning	False	A flexible pipeline for genome-resolved metagenomic data analysis	https://github.com/bxlab/metaWRAP	['Read binning', 'Sequence assembly', 'Genome annotation', 'Sequence trimming', 'Demultiplexing']	['Whole genome sequencing', 'Metagenomic sequencing', 'Metagenomics']
mg_toolkit	False	Metagenomics toolkit enables scientists to download all of the sample metadata for a given study or sequence to a single csv file.	https://github.com/EBI-Metagenomics/emg-toolkit	['Data retrieval']	['Metagenomics']
micro_decon	False	An R package for removing contamination from metabarcoding (e.g., microbiome) datasets post-sequencing	https://github.com/donaldtmcknight/microdecon	[]	[]
mmseqs2	False	MMseqs2 is an ultra fast and sensitive sequence search and clustering suite	https://github.com/soedinglab/MMseqs2	['Sequence similarity search', 'Sequence alignment', 'Sequence clustering', 'Taxonomic classification']	['Metagenomics', 'Sequence analysis', 'Proteins', 'Nucleic acids', 'Gene and protein families', 'Taxonomy']
mmuphin	False	MMUPHin is an R package implementing meta-analysis methods for microbial community profiles	https://huttenhower.sph.harvard.edu/mmuphin	[]	[]
mob_suite	False	MOB-suite is a set of software tools for clustering, reconstruction and typing of plasmids from draft assemblies	https://github.com/phac-nml/mob-suite	['Clustering', 'Sequence analysis']	['Metagenomics', 'Sequence assembly', 'Genotype and phenotype', 'Mobile genetic elements', 'Genomics']
motus	False	Tool for profiling the abundance of microbial taxa.	https://github.com/motu-tool/mOTUs	['Taxonomic classification']	['Metagenomics']
mqc	False	Ribosome profiling mapping quality control tool	https://github.com/Biobix/mQC	[]	[]
mt2mq	False	Tool to prepare metatranscriptomic outputs from ASaiM for Metaquantome		[]	[]
mykrobe	False	Antibiotic resistance predictions	https://github.com/Mykrobe-tools/mykrobe	['Antimicrobial resistance prediction', 'Variant calling', 'Genotyping', 'Sequence trimming']	['Whole genome sequencing', 'Genotype and phenotype', 'Probes and primers', 'Genetic variation', 'Metagenomics']
nonpareil	False	Estimate average coverage in metagenomic datasets	http://nonpareil.readthedocs.io	['Operation']	[]
p_chunks	False	Annotates plasmids	https://github.com/gregvonkuster/galaxy_tools	[]	[]
phabox	False	Identify and analyze phage contigs in metagenomic data	https://github.com/KennthShang/PhaBOX	['Sequence assembly', 'Taxonomic classification', 'Visualisation']	['Metagenomics', 'Microbial ecology', 'Sequence assembly', 'Taxonomy']
pharokka	False	rapid standardised annotation tool for bacteriophage genomes and metagenomes	https://github.com/gbouras13/pharokka	['Genome annotation', 'Antimicrobial resistance prediction', 'tRNA gene prediction', 'Formatting', 'Sequence assembly']	['Metagenomics', 'Sequence sites, features and motifs', 'Workflows', 'Functional, regulatory and non-coding RNA']
phyloseq	False	Handling and analysis of high-throughput microbiome census data	https://www.bioconductor.org/packages/release/bioc/html/phyloseq.html	['Deposition', 'Analysis', 'Visualisation']	['Microbiology', 'Sequence analysis', 'Metagenomics']
picrust	False	PICRUSt wrappers	https://picrust.github.io/picrust/	['Phylogenetic reconstruction', 'Expression analysis', 'Genome annotation', 'DNA barcoding']	['Metagenomics', 'Microbial ecology', 'Functional, regulatory and non-coding RNA', 'Metagenomic sequencing']
picrust2	False	PICRUSt2: Phylogenetic Investigation of Communities by Reconstruction of Unobserved States	https://github.com/picrust/picrust2/wiki	['Phylogenetic reconstruction', 'Expression analysis', 'Rarefaction', 'Pathway analysis']	['Metagenomics', 'Microbiology', 'Phylogenetics', 'Metagenomic sequencing']
pimento	False	A PrIMEr infereNce TOolkit to facilitate large-scale calling of metabarcoding amplicon sequence variants.	https://github.com/EBI-Metagenomics/PIMENTO	[]	[]
plasclass	False	PlasClass is a tool to classify sequences of plasmid or chromosomal origin	https://github.com/Shamir-Lab/PlasClass	['Sequence classification', 'Sequence assembly', 'k-mer counting']	['Metagenomics', 'Sequence assembly', 'DNA', 'Metagenomic sequencing']
plasflow	False	PlasFlow - Prediction of plasmid sequences in metagenomic contigs.	https://github.com/smaegol/PlasFlow	['Sequence analysis']	['Metagenomics', 'Sequence assembly', 'Mobile genetic elements', 'Machine learning']
plasmid_profiler	False	Explores plasmid content in WGS data		[]	[]
plasmidfinder	False	Identify plasmids in total or partial sequenced isolates of bacteria.	https://bitbucket.org/genomicepidemiology/plasmidfinder/src/master/	['Genome assembly', 'Scaffolding', 'Multilocus sequence typing']	['Whole genome sequencing', 'Sequence assembly', 'Mapping', 'Probes and primers']
plasmidspades	False	Genome assembler for assemblying plasmid		[]	[]
ppanggolin	False	Microbial Partitioned PanGenome	https://github.com/labgem/PPanGGOLiN	['Rarefaction', 'Essential dynamics', 'Sequence assembly', 'Genome annotation']	['Metagenomics', 'Gene and protein families', 'Model organisms', 'Public health and epidemiology', 'Mapping']
prinseq	False	PRINSEQ is a tool for easy and rapid quality control and data processing of metagenomic and metatranscriptomic datasets	http://prinseq.sourceforge.net/manual.html	['Read pre-processing', 'Sequence trimming', 'Sequence contamination filtering']	['Transcriptomics', 'Metagenomics', 'Genomics']
purge_dups	False	Purge haplotigs and overlaps in an assembly based on read depth	https://github.com/dfguan/purge_dups	['Genome assembly', 'Read binning', 'Scaffolding']	['Sequence assembly']
qiime	False	QIIME to perform microbial community analysis	http://www.qiime.org	['Demultiplexing', 'Visualisation', 'Taxonomic classification', 'Phylogenetic analysis', 'Sequencing quality control']	['Microbial ecology', 'Phylogeny', 'Metagenomics', 'Metatranscriptomics']
qiime2	False		https://qiime2.org	['Demultiplexing', 'Visualisation', 'Taxonomic classification']	['Microbial ecology', 'Metatranscriptomics', 'Metagenomics']
qiime2_dbotu_q2	False	q2-dbotu is a Qiime 2 plugin for performing OTU clustering	https://github.com/cduvallet/q2-dbotu/tree/master	['Demultiplexing', 'Visualisation', 'Taxonomic classification']	['Microbial ecology', 'Metatranscriptomics', 'Metagenomics']
reago	False	Reago is tool to assembly 16S ribosomal RNA recovery from metagenomic data.	https://github.com/chengyuan/reago-1.1	['Sequence assembly']	['Sequence assembly', 'RNA', 'Metagenomics', 'Microbiology']
recentrifuge	False	"""With Recentrifuge, researchers can analyze results from taxonomic classifiers using interactive charts with emphasis on the confidence level of the classifications.In addition to contamination-subtracted samples.Recentrifuge provides shared and exclusive taxa per sample,thus enabling robust contamination removal and comparative analysis in environmental and clinical metagenomics."""	https://github.com/khyox/recentrifuge	['Taxonomic classification', 'Expression analysis', 'Cross-assembly']	['Metagenomics', 'Microbial ecology', 'Metagenomic sequencing']
recetox-aplcms	False	Peak detection tool for HRMS profile data.	https://github.com/RECETOX/recetox-aplcms	['Alignment', 'Quantification', 'Chromatographic alignment', 'Peak detection', 'Feature extraction']	['Metabolomics']
repenrich	False	Repeat element profiling	https://github.com/ARTbio/tools-artbio/tree/main/tools/repenrich	[]	[]
repenrich2	False	Repeat element profiling using bowtie2 aligner	https://github.com/ARTbio/tools-artbio/tree/main/tools/repenrich2	[]	[]
ribotaper	False	A method for defining traslated ORFs using Ribosome Profiling data.	https://ohlerlab.mdc-berlin.de/software/RiboTaper_126/	['Gene expression profiling']	['Functional genomics']
ribowaltz	False	Calculation of optimal P-site offsets, diagnostic analysis and visual inspection of ribosome profiling data	https://github.com/LabTranslationalArchitectomics/riboWaltz	[]	['Computational biology']
rrna	False	Identification of ribosomal RNA genes in metagenomic fragments.	http://weizhong-lab.ucsd.edu/meta_rna/	[]	[]
samestr	False	Strain-level analysis and comparison of metagenomic samples	https://github.com/danielpodlesny/samestr	[]	[]
seacr	False	SEACR is intended to call peaks and enriched regions from sparse CUT&RUN or chromatin profiling data in which background is dominated by zeroes.	https://github.com/FredHutch/SEACR	[]	[]
semibin	False	SemiBin: Semi-supervised Metagenomic Binning Using Siamese Neural Networks	https://semibin.readthedocs.io/en/latest/	['Sequence assembly', 'Read binning']	['Metagenomics', 'Machine learning', 'Microbial ecology', 'Sequence assembly']
shorah_amplicon	False	Reconstruct haplotypes using ShoRAH in amplicon mode	https://github.com/cbg-ethz/shorah/blob/master/README.md	['Haplotype mapping', 'Variant calling']	['Metagenomics', 'Sequencing', 'Genetics']
sonneityping	False	Scripts for parsing Mykrobe predict results for Shigella sonnei.	https://github.com/katholt/sonneityping	['Antimicrobial resistance prediction', 'Variant calling', 'Genotyping']	['Whole genome sequencing', 'Genotype and phenotype', 'Genetic variation', 'Metagenomics']
